time_sec,ax,ay,az,gx,gy,gz,temp_c
0.012,0.011000,1.029000,0.189000,11.282000,48.145000,-24.565000,30.180000
0.019,0.024000,1.022000,0.166000,7.618000,55.725000,-22.351000,30.220000
0.026,-0.002000,0.992000,0.147000,10.496000,59.595000,-17.794000,30.130000
0.038,-0.027000,0.991000,0.142000,14.687000,62.702000,-15.573000,30.180000
0.045,-0.061000,0.988000,0.128000,15.962000,65.626000,-16.336000,30.180000
0.057,-0.105000,0.989000,0.120000,15.626000,63.618000,-16.511000,30.130000
0.069,-0.139000,1.003000,0.121000,13.298000,58.473000,-17.855000,30.130000
0.076,-0.153000,0.991000,0.094000,14.412000,52.038000,-20.550000,30.180000
0.089,-0.135000,0.996000,0.112000,12.496000,43.786000,-19.985000,30.130000
0.096,-0.121000,0.999000,0.101000,13.137000,37.206000,-21.847000,30.220000
0.109,-0.074000,0.994000,0.120000,13.382000,37.031000,-27.427000,30.180000
0.117,-0.039000,1.018000,0.119000,12.511000,41.427000,-29.618000,30.180000
0.127,-0.038000,1.032000,0.118000,11.595000,44.618000,-27.718000,30.080000
0.142,-0.066000,1.051000,0.120000,11.038000,44.443000,-25.420000,30.220000
0.146,-0.109000,1.040000,0.114000,9.947000,41.824000,-24.565000,30.270000
0.158,-0.136000,1.023000,0.088000,12.275000,31.374000,-21.718000,30.180000
0.165,-0.127000,1.019000,0.093000,16.870000,21.038000,-20.450000,30.130000
0.177,-0.112000,1.037000,0.113000,19.305000,16.702000,-20.687000,30.130000
0.185,-0.084000,1.031000,0.122000,20.321000,18.015000,-24.244000,30.080000
0.197,-0.060000,1.060000,0.156000,19.740000,24.779000,-27.695000,30.180000
0.209,-0.042000,1.068000,0.172000,15.458000,32.908000,-30.282000,30.130000
0.216,-0.055000,1.057000,0.168000,11.046000,40.008000,-31.511000,30.180000
0.229,-0.085000,1.030000,0.156000,9.092000,41.985000,-30.466000,30.080000
0.235,-0.127000,1.020000,0.137000,9.046000,37.756000,-27.725000,30.220000
