time_sec,ax,ay,az,gx,gy,gz,temp_c
0.018,-0.331000,-0.008000,0.894000,18.366000,-11.466000,-31.214000,28.670000
0.018,-0.326000,0.057000,0.970000,18.397000,-22.061000,-30.954000,28.670000
0.024,-0.265000,0.111000,1.031000,14.916000,-26.573000,-20.748000,28.720000
0.036,-0.219000,0.142000,1.036000,5.427000,-21.740000,-16.534000,28.720000
0.043,-0.129000,0.182000,0.981000,-6.718000,-7.458000,-16.458000,28.670000
0.055,-0.094000,0.105000,0.847000,-11.405000,3.542000,-19.420000,28.770000
0.062,-0.038000,0.044000,0.742000,-0.756000,7.969000,-22.420000,28.620000
0.075,-0.060000,0.026000,0.730000,9.840000,2.962000,-17.718000,28.810000
0.082,-0.082000,0.040000,0.772000,19.725000,-8.527000,-5.817000,28.670000
0.095,-0.111000,0.106000,0.866000,21.382000,-17.458000,7.450000,28.670000
0.108,-0.144000,0.133000,0.935000,18.901000,-20.489000,17.901000,28.670000
0.113,-0.186000,0.157000,1.001000,14.481000,-17.305000,19.802000,28.720000
0.126,-0.201000,0.200000,1.028000,5.443000,-8.008000,12.389000,28.720000
0.133,-0.189000,0.154000,1.007000,0.847000,0.450000,3.122000,28.670000
0.145,-0.156000,0.106000,0.955000,1.557000,9.084000,-7.328000,28.670000
0.152,-0.151000,0.071000,0.927000,2.443000,10.061000,-6.695000,28.670000
0.165,-0.154000,0.061000,0.913000,4.504000,5.458000,-3.489000,28.720000
0.172,-0.162000,0.089000,0.930000,4.229000,0.679000,-0.206000,28.720000
0.185,-0.174000,0.077000,0.932000,2.031000,-3.069000,2.893000,28.770000
0.193,-0.166000,0.065000,0.939000,3.679000,-3.321000,0.237000,28.670000
0.205,-0.193000,0.060000,0.952000,3.855000,-4.122000,-1.748000,28.580000
0.211,-0.218000,0.067000,0.968000,2.901000,-3.702000,-2.053000,28.670000
0.223,-0.203000,0.079000,0.978000,-0.489000,-1.908000,-2.641000,28.620000
0.236,-0.211000,0.039000,0.980000,-1.679000,1.885000,-5.870000,28.770000
0.244,-0.175000,0.085000,0.980000,-6.191000,12.336000,-9.878000,28.670000
0.255,-0.193000,0.067000,0.965000,-8.267000,19.550000,-10.206000,28.580000
0.262,-0.253000,0.071000,0.940000,-9.351000,25.985000,-5.794000,28.720000
0.275,-0.354000,0.072000,0.911000,-11.046000,21.466000,0.809000,28.620000
0.284,-0.450000,0.029000,0.913000,-6.527000,9.046000,1.282000,28.770000
0.294,-0.492000,0.038000,0.909000,-2.977000,-7.076000,-0.260000,28.670000
0.306,-0.427000,0.037000,0.914000,-2.191000,-15.527000,-2.664000,28.670000
0.313,-0.352000,0.047000,0.912000,-1.611000,-11.939000,-6.336000,28.720000
0.325,-0.335000,0.054000,0.917000,-2.389000,-0.740000,-10.962000,28.720000
0.334,-0.370000,0.105000,0.902000,-6.084000,10.183000,-17.214000,28.670000
0.345,-0.417000,0.062000,0.873000,-7.504000,12.542000,-23.992000,28.670000
0.352,-0.441000,0.035000,0.855000,0.954000,3.504000,-31.626000,28.670000
0.364,-0.439000,0.027000,0.862000,8.450000,-10.901000,-35.351000,28.620000
0.376,-0.369000,0.040000,0.871000,14.092000,-22.214000,-36.863000,28.720000
0.384,-0.270000,0.075000,0.921000,15.481000,-24.527000,-38.840000,28.670000
0.396,-0.207000,0.105000,0.947000,13.344000,-18.511000,-38.229000,28.770000
0.403,-0.227000,0.095000,0.970000,13.038000,-15.634000,-36.557000,28.580000
0.414,-0.261000,0.140000,1.014000,12.870000,-18.275000,-38.031000,28.620000
0.420,-0.251000,0.146000,1.049000,9.412000,-23.687000,-37.260000,28.720000
0.434,-0.167000,0.160000,1.052000,4.534000,-23.565000,-38.779000,28.770000
0.445,-0.114000,0.125000,1.074000,0.061000,-23.840000,-36.115000,28.670000
0.453,-0.075000,0.101000,1.063000,-5.511000,-17.550000,-31.763000,28.620000
0.465,-0.058000,0.100000,1.039000,-16.443000,-9.008000,-23.954000,28.720000
0.471,-0.076000,0.124000,0.982000,-24.656000,1.099000,-9.366000,28.620000
0.486,-0.219000,0.098000,0.949000,-28.573000,5.649000,4.405000,28.770000
0.490,-0.375000,0.105000,0.967000,-24.237000,3.366000,2.481000,28.670000
0.504,-0.480000,0.092000,0.978000,-22.031000,-4.229000,-10.260000,28.720000
0.515,-0.504000,0.080000,0.976000,-18.221000,-13.893000,-25.298000,28.620000
0.522,-0.436000,0.046000,0.925000,-14.122000,-21.649000,-40.977000,28.720000
0.535,-0.333000,0.014000,0.864000,-5.916000,-26.473000,-51.450000,28.670000
0.542,-0.249000,0.005000,0.852000,2.221000,-31.023000,-55.092000,28.770000
0.554,-0.193000,0.042000,0.865000,6.489000,-33.214000,-52.908000,28.720000
0.566,-0.161000,0.078000,0.903000,4.405000,-33.260000,-47.168000,28.620000
0.572,-0.145000,0.114000,0.916000,3.588000,-32.611000,-43.840000,28.770000
0.585,-0.125000,0.114000,0.950000,1.153000,-27.244000,-43.359000,28.770000
0.594,-0.135000,0.085000,0.955000,0.908000,-21.855000,-44.763000,28.670000
0.605,-0.155000,0.087000,0.968000,0.046000,-18.893000,-48.359000,28.670000
0.616,-0.167000,0.079000,0.977000,-1.542000,-17.573000,-51.649000,28.720000
0.623,-0.141000,0.077000,0.951000,-1.901000,-18.328000,-54.626000,28.670000
0.635,-0.082000,0.092000,0.920000,-3.855000,-16.015000,-55.084000,28.670000
0.644,-0.048000,0.083000,0.921000,-4.824000,-12.107000,-49.252000,28.670000
0.654,-0.103000,0.066000,0.920000,-5.359000,-8.931000,-42.137000,28.720000
0.660,-0.204000,0.036000,0.923000,-1.344000,-14.489000,-43.046000,28.720000
0.673,-0.237000,0.065000,0.947000,0.176000,-22.275000,-47.901000,28.860000
0.686,-0.222000,0.045000,0.946000,2.504000,-32.252000,-52.718000,28.670000
0.693,-0.126000,0.051000,0.927000,5.023000,-34.740000,-58.924000,28.770000
0.705,-0.046000,0.094000,0.948000,4.015000,-33.069000,-59.847000,28.720000
0.712,0.017000,0.110000,0.942000,1.183000,-24.267000,-58.656000,28.720000
0.724,0.031000,0.121000,0.947000,-2.504000,-14.130000,-56.985000,28.670000
0.736,-0.022000,0.100000,0.938000,-4.725000,-9.321000,-51.893000,28.670000
0.743,-0.147000,0.040000,0.935000,-3.687000,-19.046000,-42.954000,28.720000
0.755,-0.225000,0.048000,0.924000,0.389000,-33.802000,-40.374000,28.720000
0.762,-0.209000,0.088000,0.947000,2.168000,-49.160000,-39.878000,28.720000
0.775,-0.108000,0.122000,0.971000,1.710000,-53.496000,-38.237000,28.670000
0.783,0.000000,0.149000,0.970000,-1.496000,-40.351000,-42.221000,28.770000
0.794,0.082000,0.184000,0.969000,-9.435000,-16.802000,-46.450000,28.770000
0.806,0.054000,0.108000,0.933000,-14.542000,0.809000,-47.366000,28.720000
0.813,-0.006000,0.071000,0.898000,-15.443000,10.427000,-48.664000,28.670000
0.825,-0.087000,0.041000,0.867000,-12.817000,6.282000,-47.557000,28.670000
0.833,-0.133000,0.036000,0.884000,-9.595000,-5.359000,-43.863000,28.770000
0.845,-0.112000,0.053000,0.902000,-7.443000,-13.122000,-42.664000,28.720000
0.851,-0.013000,0.092000,0.940000,-9.305000,-6.290000,-42.756000,28.720000
0.864,0.010000,0.098000,0.979000,-11.458000,8.908000,-46.924000,28.770000
0.876,0.000000,0.122000,1.011000,-17.527000,27.405000,-55.634000,28.670000
0.884,-0.068000,0.035000,0.987000,-18.725000,34.748000,-63.458000,28.670000
0.896,-0.134000,0.000000,0.961000,-12.870000,26.115000,-64.282000,28.720000
0.902,-0.175000,0.016000,0.959000,-8.802000,7.580000,-60.046000,28.620000
0.914,-0.166000,0.042000,0.937000,-8.160000,-10.924000,-53.038000,28.770000
0.926,-0.067000,0.071000,0.907000,-9.954000,-15.267000,-48.641000,28.670000
0.934,0.006000,0.068000,0.881000,-15.351000,-7.450000,-46.947000,28.720000
0.946,-0.030000,0.005000,0.873000,-12.450000,2.015000,-49.748000,28.620000
0.954,-0.125000,-0.020000,0.882000,-7.198000,3.229000,-57.588000,28.720000
0.964,-0.186000,-0.030000,0.899000,-1.359000,-8.282000,-62.183000,28.770000
0.970,-0.198000,-0.020000,0.913000,2.687000,-25.725000,-61.351000,28.670000
0.984,-0.114000,0.042000,0.919000,2.908000,-36.794000,-58.885000,28.770000
0.996,0.042000,0.092000,0.928000,-0.260000,-32.015000,-54.649000,28.720000
1.003,0.103000,0.103000,0.896000,-5.313000,-14.802000,-51.802000,28.720000
1.015,0.116000,0.097000,0.852000,-8.542000,9.328000,-54.534000,28.670000
1.022,0.005000,0.023000,0.835000,-9.275000,18.916000,-54.191000,28.670000
1.035,-0.169000,-0.064000,0.841000,-0.450000,10.168000,-51.962000,28.720000
1.040,-0.261000,0.008000,0.881000,3.527000,-8.618000,-52.351000,28.720000
1.053,-0.230000,0.000000,0.905000,6.282000,-28.901000,-50.290000,28.720000
1.066,-0.129000,0.031000,0.927000,9.794000,-34.740000,-48.687000,28.670000
1.072,-0.046000,0.078000,0.977000,6.305000,-25.359000,-52.885000,28.670000
1.086,0.012000,0.090000,0.961000,0.802000,-5.763000,-57.908000,28.720000
1.094,0.027000,0.075000,0.945000,-1.130000,12.725000,-62.405000,28.720000
1.105,-0.023000,0.064000,0.936000,-4.176000,22.046000,-62.588000,28.670000
1.116,-0.159000,-0.017000,0.914000,-2.061000,13.450000,-55.985000,28.770000
1.123,-0.261000,-0.006000,0.916000,2.237000,-7.244000,-49.305000,28.770000
1.136,-0.271000,0.025000,0.938000,2.924000,-25.260000,-48.038000,28.720000
1.144,-0.172000,0.053000,0.956000,0.214000,-30.321000,-47.603000,28.720000
1.155,-0.114000,0.046000,0.948000,-1.725000,-21.679000,-50.405000,28.670000
1.161,-0.002000,0.140000,0.929000,-10.847000,3.382000,-56.985000,28.580000
1.174,0.091000,0.155000,0.889000,-21.580000,39.115000,-65.351000,28.670000
1.186,0.094000,0.103000,0.823000,-24.687000,74.748000,-74.076000,28.720000
1.194,-0.069000,0.022000,0.767000,-21.702000,88.183000,-79.229000,28.620000
1.206,-0.288000,-0.085000,0.761000,-8.504000,70.969000,-80.649000,28.670000
1.212,-0.362000,-0.060000,0.827000,8.779000,35.824000,-79.023000,28.770000
1.224,-0.316000,0.026000,0.871000,14.824000,-1.473000,-76.504000,28.720000
1.237,-0.188000,0.050000,0.909000,17.397000,-27.954000,-69.718000,28.810000
1.244,0.017000,0.112000,0.922000,18.458000,-25.550000,-67.771000,28.620000
1.255,0.135000,0.135000,0.947000,13.794000,-8.573000,-66.634000,28.670000
1.264,0.026000,0.022000,0.941000,12.641000,2.496000,-63.786000,28.770000
1.275,-0.119000,0.005000,0.948000,17.824000,0.160000,-64.725000,28.620000
1.284,-0.204000,0.022000,0.990000,18.664000,-15.160000,-67.878000,28.720000
1.294,-0.178000,0.032000,1.013000,17.466000,-32.794000,-69.122000,28.670000
1.306,-0.042000,0.094000,1.027000,14.412000,-35.679000,-75.763000,28.670000
1.313,0.121000,0.118000,1.015000,10.481000,-24.771000,-81.977000,28.770000
1.325,0.229000,0.115000,0.975000,8.473000,-8.702000,-83.824000,28.620000
1.334,0.150000,0.039000,0.956000,13.863000,-6.008000,-79.611000,28.620000
1.345,0.037000,0.042000,1.005000,19.473000,-17.740000,-72.802000,28.670000
1.352,-0.014000,0.101000,1.062000,18.214000,-39.321000,-64.794000,28.670000
1.364,0.009000,0.099000,1.109000,16.168000,-57.221000,-58.733000,28.580000
1.376,0.115000,0.120000,1.086000,11.687000,-60.931000,-57.198000,28.720000
1.384,0.274000,0.131000,1.036000,4.870000,-46.603000,-59.847000,28.720000
1.396,0.360000,0.119000,0.989000,2.176000,-21.939000,-64.115000,28.770000
1.403,0.307000,0.078000,0.971000,2.611000,-3.427000,-65.176000,28.770000
1.415,0.157000,0.051000,0.987000,7.565000,-6.519000,-61.992000,28.720000
1.422,0.073000,0.076000,1.028000,9.313000,-24.183000,-57.237000,28.620000
1.435,0.071000,0.083000,1.037000,7.244000,-46.107000,-48.710000,28.720000
1.444,0.177000,0.089000,1.040000,6.618000,-55.618000,-43.389000,28.770000
1.454,0.342000,0.137000,1.020000,1.855000,-44.298000,-41.565000,28.670000
1.466,0.416000,0.117000,0.992000,-3.359000,-19.771000,-40.992000,28.720000
1.473,0.423000,0.134000,0.962000,-7.290000,9.519000,-41.389000,28.720000
1.485,0.279000,0.138000,0.941000,-13.817000,23.794000,-37.695000,28.670000
1.493,0.095000,0.061000,0.941000,-12.931000,18.756000,-31.672000,28.770000
1.504,-0.018000,0.053000,0.934000,-10.053000,0.855000,-27.321000,28.770000
1.511,-0.023000,0.032000,0.933000,-7.802000,-16.252000,-25.992000,28.720000
1.524,0.058000,0.048000,0.929000,-6.008000,-20.542000,-25.160000,28.720000
1.536,0.174000,0.071000,0.924000,-6.542000,-8.786000,-29.443000,28.670000
1.544,0.207000,0.063000,0.903000,-5.557000,6.786000,-32.802000,28.670000
1.555,0.133000,0.082000,0.922000,-5.954000,17.817000,-31.901000,28.670000
1.562,-0.010000,0.053000,0.943000,-5.397000,12.069000,-26.702000,28.620000
1.574,-0.139000,0.046000,0.945000,-1.458000,-6.427000,-22.000000,28.620000
1.581,-0.156000,0.034000,0.975000,-1.756000,-25.137000,-22.298000,28.580000
1.593,-0.090000,0.028000,0.969000,-2.725000,-34.328000,-25.802000,28.670000
1.606,0.009000,0.020000,0.953000,-1.427000,-30.542000,-38.542000,28.720000
1.612,0.114000,0.058000,0.935000,-2.786000,-12.687000,-50.763000,28.620000
1.625,0.185000,0.046000,0.956000,-1.916000,4.313000,-57.885000,28.720000
1.634,0.165000,0.082000,0.950000,-2.122000,13.595000,-58.473000,28.670000
1.644,0.092000,0.089000,0.963000,-4.168000,10.069000,-52.183000,28.770000
1.652,0.012000,0.039000,0.971000,-5.191000,-4.221000,-40.595000,28.620000
1.664,-0.033000,0.036000,0.985000,-5.733000,-19.321000,-34.893000,28.720000
1.675,-0.015000,0.020000,0.991000,-6.710000,-28.443000,-36.023000,28.720000
1.685,0.054000,-0.014000,0.985000,-6.405000,-25.916000,-39.237000,28.770000
1.695,0.070000,-0.014000,0.980000,-6.748000,-18.214000,-44.458000,28.770000
1.703,0.035000,-0.039000,0.996000,-7.252000,-10.985000,-48.679000,28.810000
1.713,-0.071000,-0.011000,1.030000,-5.626000,-12.756000,-53.366000,28.720000
1.726,-0.168000,-0.002000,1.018000,-5.992000,-21.275000,-60.145000,28.670000
1.733,-0.197000,-0.011000,0.978000,-3.084000,-42.000000,-67.122000,28.770000
1.745,-0.131000,-0.010000,0.910000,4.000000,-58.298000,-75.580000,28.670000
1.752,0.022000,0.016000,0.900000,6.718000,-67.237000,-79.008000,28.770000
1.764,0.203000,0.031000,0.917000,11.382000,-60.710000,-83.061000,28.720000
1.776,0.384000,0.151000,0.961000,6.443000,-34.023000,-84.885000,28.670000
1.784,0.444000,0.162000,0.946000,-3.924000,-5.305000,-82.947000,28.670000
1.796,0.422000,0.148000,0.897000,-9.466000,19.282000,-76.275000,28.770000
1.803,0.353000,0.105000,0.838000,-13.305000,28.634000,-66.053000,28.720000
1.815,0.245000,0.034000,0.802000,-10.206000,21.405000,-51.718000,28.720000
1.822,0.156000,0.017000,0.800000,-5.244000,6.489000,-40.282000,28.670000
1.835,0.140000,0.039000,0.837000,-4.679000,-7.931000,-35.046000,28.670000
1.846,0.173000,0.033000,0.875000,-2.069000,-17.298000,-32.260000,28.670000
1.853,0.341000,0.106000,0.901000,-5.969000,-4.473000,-33.153000,28.620000
1.865,0.451000,0.117000,0.878000,-14.366000,18.496000,-31.595000,28.620000
1.872,0.473000,0.099000,0.800000,-19.618000,47.580000,-28.565000,28.670000
1.885,0.401000,0.033000,0.743000,-19.382000,66.840000,-26.817000,28.670000
1.893,0.190000,-0.050000,0.757000,-11.015000,61.786000,-19.901000,28.720000
1.904,0.005000,-0.057000,0.833000,-1.473000,36.473000,-10.351000,28.620000
1.916,-0.058000,0.010000,0.915000,-1.817000,6.977000,-4.901000,28.720000
1.923,-0.019000,0.005000,0.935000,-2.267000,-20.076000,-0.603000,28.770000
1.936,0.165000,0.017000,0.909000,-0.878000,-19.924000,-8.489000,28.670000
1.943,0.292000,0.033000,0.872000,-3.221000,-3.183000,-15.084000,28.670000
1.955,0.318000,0.008000,0.818000,-3.511000,17.740000,-20.366000,28.620000
1.962,0.265000,-0.002000,0.814000,-0.947000,35.321000,-26.786000,28.620000
1.974,0.142000,0.005000,0.858000,1.687000,37.740000,-25.969000,28.670000
1.980,0.126000,-0.019000,0.989000,6.443000,33.282000,-21.534000,28.670000
1.994,0.032000,-0.031000,0.991000,3.405000,5.794000,-14.832000,28.720000
2.006,0.030000,-0.000000,0.932000,6.305000,3.366000,-13.756000,28.720000
2.013,0.130000,0.005000,0.829000,5.771000,-7.313000,-18.092000,28.670000
2.026,0.270000,0.001000,0.802000,8.977000,4.969000,-28.298000,28.670000
2.035,0.290000,0.020000,0.851000,10.519000,16.557000,-26.641000,28.670000
2.046,0.262000,0.047000,0.907000,10.542000,28.695000,-20.916000,28.720000
2.053,0.230000,0.077000,0.978000,5.840000,41.237000,-17.565000,28.620000
2.064,0.068000,0.006000,0.986000,3.489000,38.366000,-10.542000,28.670000
2.071,-0.101000,-0.042000,1.019000,8.947000,22.176000,-11.405000,28.670000
2.086,-0.142000,-0.037000,1.064000,14.748000,0.771000,-19.427000,28.670000
2.096,-0.040000,0.025000,1.076000,10.672000,-10.489000,-22.206000,28.720000
2.103,0.123000,0.034000,1.055000,9.183000,-7.344000,-26.137000,28.620000
2.115,0.265000,0.075000,1.032000,3.427000,12.412000,-30.672000,28.670000
2.122,0.277000,0.021000,0.973000,1.817000,29.603000,-31.198000,28.670000
2.135,0.162000,-0.017000,0.935000,2.198000,37.824000,-34.489000,28.670000
2.144,0.045000,-0.049000,0.927000,7.458000,24.099000,-34.252000,28.720000
2.154,-0.011000,-0.067000,0.957000,20.076000,-5.344000,-32.901000,28.720000
2.166,0.011000,0.024000,1.023000,25.511000,-34.878000,-31.366000,28.670000
2.173,0.009000,0.027000,1.058000,26.305000,-65.321000,-19.527000,28.670000
2.185,0.196000,0.094000,1.069000,23.382000,-69.061000,-13.473000,28.620000
2.194,0.387000,0.178000,1.043000,10.565000,-46.344000,-13.893000,28.720000
2.205,0.436000,0.116000,0.974000,4.710000,-13.908000,-13.130000,28.620000
2.212,0.302000,0.066000,0.952000,5.008000,10.687000,-11.649000,28.770000
2.224,0.113000,0.085000,0.990000,2.885000,17.779000,-9.290000,28.580000
2.231,-0.039000,0.044000,1.009000,3.427000,5.321000,-4.122000,28.720000
2.244,-0.090000,0.051000,1.013000,3.748000,-11.771000,-2.435000,28.620000
2.256,-0.037000,0.071000,0.973000,-0.191000,-19.695000,-3.229000,28.620000
2.263,0.078000,0.013000,0.938000,0.885000,-16.878000,-7.450000,28.670000
2.275,0.159000,0.098000,0.920000,4.855000,-1.290000,-14.542000,28.670000
2.284,0.128000,0.076000,0.908000,-0.145000,11.389000,-13.015000,28.720000
2.295,0.071000,0.082000,0.921000,0.305000,16.908000,-11.344000,28.620000
2.303,-0.013000,0.084000,0.915000,-2.282000,14.878000,-10.489000,28.670000
2.314,-0.119000,-0.067000,0.900000,25.725000,-2.664000,-7.328000,28.670000
2.326,-0.088000,0.019000,0.941000,6.115000,-11.382000,-11.176000,28.670000
2.333,-0.001000,0.007000,0.886000,5.870000,-19.328000,-15.885000,28.670000
2.345,0.180000,-0.006000,0.880000,10.969000,-10.366000,-27.809000,28.720000
2.353,0.305000,0.086000,0.934000,11.908000,10.450000,-31.855000,28.670000
2.364,0.299000,0.101000,0.956000,5.252000,25.229000,-29.649000,28.670000
2.372,0.243000,0.067000,0.964000,1.962000,36.008000,-25.344000,28.670000
2.385,0.131000,0.016000,0.944000,2.481000,29.389000,-19.916000,28.620000
2.390,0.031000,-0.016000,0.938000,8.305000,10.191000,-16.260000,28.720000
2.404,0.007000,0.001000,0.961000,13.786000,-10.756000,-15.061000,28.770000
2.416,0.097000,0.050000,0.995000,13.672000,-19.718000,-14.244000,28.670000
2.422,0.219000,0.083000,0.991000,9.672000,-17.000000,-13.481000,28.670000
2.435,0.283000,0.095000,0.942000,6.527000,-3.115000,-14.931000,28.720000
2.445,0.268000,0.067000,0.897000,5.466000,8.802000,-17.092000,28.620000
2.455,0.236000,0.030000,0.878000,8.542000,10.588000,-17.305000,28.670000
2.462,0.213000,0.051000,0.911000,12.954000,5.809000,-16.412000,28.580000
2.474,0.192000,0.094000,0.943000,13.626000,-2.191000,-12.466000,28.620000
2.479,0.203000,0.121000,0.989000,10.313000,-7.809000,-3.153000,28.620000
2.495,0.222000,0.137000,1.013000,5.763000,-6.649000,3.206000,28.720000
2.506,0.219000,0.130000,0.974000,2.321000,-1.000000,7.847000,28.770000
2.513,0.163000,0.061000,0.909000,1.275000,4.076000,8.885000,28.670000
2.526,0.120000,0.055000,0.920000,5.519000,7.626000,6.626000,28.670000
2.534,0.053000,0.060000,0.943000,9.313000,3.252000,3.947000,28.720000
2.547,0.052000,0.083000,1.014000,12.466000,-3.664000,0.573000,28.620000
2.554,0.062000,0.117000,1.032000,14.069000,-12.695000,1.985000,28.580000
2.566,0.159000,0.146000,1.057000,11.061000,-7.496000,1.038000,28.670000
2.573,0.225000,0.150000,1.022000,3.397000,3.099000,0.015000,28.620000
2.586,0.208000,0.109000,0.997000,0.626000,17.359000,-0.183000,28.720000
2.594,0.160000,0.106000,0.994000,-0.977000,26.176000,-1.237000,28.720000
2.606,0.070000,0.066000,1.034000,0.115000,20.794000,0.641000,28.670000
2.612,0.031000,0.086000,1.069000,1.756000,7.458000,2.855000,28.670000
2.625,0.050000,0.107000,1.064000,0.954000,-7.847000,4.534000,28.720000
2.634,0.122000,0.100000,1.037000,0.351000,-14.649000,5.725000,28.620000
2.645,0.185000,0.106000,1.004000,-0.481000,-15.313000,6.947000,28.620000
2.652,0.228000,0.094000,0.957000,-0.473000,-10.580000,6.061000,28.580000
2.664,0.258000,0.067000,0.923000,3.252000,-6.466000,4.542000,28.670000
2.671,0.264000,0.095000,0.947000,7.924000,-6.878000,3.618000,28.620000
2.686,0.267000,0.147000,1.003000,6.786000,-11.168000,6.870000,28.720000
2.695,0.292000,0.162000,1.007000,3.863000,-15.061000,13.786000,28.720000
2.704,0.327000,0.160000,1.000000,-0.740000,-13.015000,21.313000,28.670000
2.716,0.332000,0.159000,0.982000,-7.588000,-5.260000,26.496000,28.670000
2.723,0.303000,0.104000,0.942000,-8.519000,2.832000,26.336000,28.580000
2.736,0.250000,0.099000,0.926000,-5.931000,5.557000,25.527000,28.620000
2.744,0.183000,0.103000,0.917000,-3.931000,-1.000000,25.901000,28.620000
2.755,0.179000,0.119000,0.916000,-1.885000,-7.718000,29.397000,28.670000
2.762,0.189000,0.147000,0.908000,-1.275000,-12.397000,35.061000,28.670000
2.774,0.184000,0.127000,0.897000,-1.634000,-11.931000,36.779000,28.720000
2.784,0.148000,0.075000,0.868000,-1.069000,-7.977000,34.656000,28.620000
2.795,0.081000,0.006000,0.945000,3.595000,-8.023000,32.427000,28.670000
2.806,-0.014000,0.018000,0.983000,8.061000,-18.885000,27.550000,28.670000
2.813,-0.078000,0.072000,1.073000,8.924000,-37.397000,24.557000,28.670000
2.826,-0.100000,0.096000,1.106000,5.931000,-61.244000,24.779000,28.720000
2.834,-0.030000,0.155000,1.068000,0.008000,-76.969000,22.481000,28.720000
2.845,0.092000,0.133000,0.981000,-5.229000,-84.374000,15.878000,28.670000
2.852,0.245000,0.086000,0.904000,-2.405000,-81.389000,9.695000,28.670000
2.864,0.366000,0.084000,0.845000,1.198000,-73.427000,7.511000,28.670000
2.872,0.459000,0.032000,0.829000,3.710000,-61.878000,5.695000,28.720000
2.886,0.516000,0.063000,0.842000,9.107000,-51.588000,7.160000,28.720000
2.893,0.525000,0.112000,0.865000,10.817000,-46.901000,12.893000,28.670000
2.904,0.514000,0.175000,0.893000,9.870000,-45.092000,24.374000,28.770000
2.916,0.543000,0.229000,0.905000,9.450000,-42.710000,34.221000,28.670000
2.923,0.552000,0.225000,0.867000,5.076000,-37.878000,44.214000,28.770000
2.936,0.519000,0.172000,0.798000,3.878000,-29.626000,52.725000,28.720000
