time_sec,ax,ay,az,gx,gy,gz,temp_c
0.021,-0.437000,0.609000,0.595000,-11.817000,1.947000,19.389000,26.370000
0.032,-0.574000,0.611000,0.615000,-9.450000,-12.405000,14.351000,26.270000
0.040,-0.464000,0.557000,0.642000,-6.130000,9.008000,21.061000,26.320000
0.052,-0.485000,0.596000,0.575000,-6.160000,9.679000,20.397000,26.410000
0.060,-0.500000,0.590000,0.578000,-6.542000,8.611000,18.985000,26.320000
0.072,-0.467000,0.592000,0.577000,-6.107000,6.679000,17.656000,26.220000
0.079,-0.477000,0.566000,0.570000,-2.794000,7.237000,12.168000,26.460000
0.092,-0.479000,0.585000,0.576000,0.573000,6.924000,13.511000,26.370000
0.099,-0.499000,0.593000,0.594000,0.618000,3.122000,15.939000,26.270000
0.112,-0.490000,0.598000,0.587000,-0.634000,0.489000,18.779000,26.370000
0.120,-0.502000,0.606000,0.594000,-0.153000,-2.794000,22.840000,26.370000
0.132,-0.496000,0.586000,0.608000,0.580000,-6.718000,29.718000,26.370000
0.139,-0.531000,0.598000,0.618000,-0.038000,-9.443000,28.023000,26.320000
0.151,-0.527000,0.620000,0.625000,-2.802000,-12.954000,26.206000,26.220000
0.161,-0.515000,0.615000,0.613000,-3.771000,-12.282000,20.244000,26.370000
0.171,-0.543000,0.603000,0.615000,-1.695000,-12.901000,17.702000,26.370000
0.177,-0.549000,0.610000,0.624000,0.939000,-14.145000,15.534000,26.370000
0.191,-0.536000,0.612000,0.605000,1.924000,-18.427000,13.489000,26.370000
0.203,-0.532000,0.606000,0.601000,3.878000,-24.153000,14.473000,26.320000
0.210,-0.497000,0.603000,0.606000,5.099000,-26.786000,14.962000,26.410000
0.223,-0.490000,0.625000,0.620000,5.855000,-31.534000,18.649000,26.320000
0.230,-0.445000,0.631000,0.605000,4.115000,-35.908000,15.061000,26.410000
0.242,-0.467000,0.579000,0.589000,11.519000,-52.916000,36.145000,26.370000
0.250,-0.526000,0.678000,0.633000,12.679000,-71.534000,37.107000,26.370000
0.262,-0.592000,0.756000,0.687000,10.870000,-89.695000,50.954000,26.370000
0.269,-0.607000,0.727000,0.665000,5.031000,-107.160000,66.374000,26.370000
