time_sec,ax,ay,az,gx,gy,gz,temp_c
0.016,0.221000,0.829000,0.404000,3.840000,22.954000,16.145000,29.050000
0.020,0.226000,0.826000,0.414000,2.366000,22.389000,14.328000,28.950000
0.032,0.231000,0.822000,0.405000,0.679000,21.130000,11.519000,29.000000
0.040,0.251000,0.827000,0.409000,0.931000,20.000000,9.176000,29.000000
0.052,0.261000,0.820000,0.404000,4.046000,18.511000,8.260000,28.950000
0.060,0.247000,0.841000,0.404000,4.130000,15.573000,7.618000,28.950000
0.072,0.294000,0.837000,0.413000,4.221000,13.672000,6.924000,28.950000
0.080,0.317000,0.852000,0.408000,3.321000,12.397000,11.878000,28.910000
0.093,0.315000,0.864000,0.443000,4.015000,13.473000,12.145000,29.090000
0.106,0.317000,0.870000,0.439000,4.496000,15.527000,12.084000,28.950000
0.112,0.331000,0.893000,0.459000,3.893000,15.908000,11.305000,28.950000
0.125,0.400000,0.910000,0.435000,0.389000,23.496000,10.992000,28.950000
0.132,0.444000,0.915000,0.449000,-4.137000,32.214000,13.687000,28.810000
0.144,0.453000,0.905000,0.460000,-2.908000,42.229000,19.466000,29.000000
0.151,0.444000,0.934000,0.429000,-1.763000,50.878000,28.595000,28.950000
0.164,0.331000,0.868000,0.406000,2.702000,47.847000,33.214000,28.860000
0.171,0.254000,0.824000,0.348000,3.046000,42.099000,26.618000,28.950000
0.184,0.216000,0.819000,0.337000,1.802000,35.023000,15.840000,28.910000
0.192,0.219000,0.807000,0.336000,-1.649000,23.069000,6.053000,28.910000
0.204,0.252000,0.818000,0.342000,-8.176000,5.115000,-4.740000,28.950000
0.211,0.376000,0.835000,0.362000,-15.053000,-10.733000,-11.244000,28.950000
0.223,0.502000,0.822000,0.348000,-18.359000,-18.397000,-11.847000,29.000000
0.231,0.605000,0.805000,0.336000,-14.878000,-14.939000,-7.229000,29.000000
0.243,0.662000,0.801000,0.321000,-11.374000,-5.908000,2.878000,28.910000
0.248,0.689000,0.775000,0.294000,-3.046000,9.351000,15.382000,28.950000
0.262,0.646000,0.778000,0.313000,5.710000,17.550000,27.435000,28.950000
0.275,0.591000,0.778000,0.338000,15.504000,23.573000,37.817000,29.000000
0.282,0.498000,0.807000,0.376000,23.450000,26.237000,44.740000,28.910000
0.294,0.439000,0.837000,0.453000,28.267000,27.519000,46.992000,28.950000
0.301,0.420000,0.860000,0.500000,31.924000,29.153000,45.977000,28.950000
0.314,0.397000,0.872000,0.551000,28.580000,32.366000,44.641000,29.050000
0.323,0.410000,0.863000,0.561000,26.183000,37.267000,43.527000,29.000000
0.334,0.389000,0.844000,0.555000,21.771000,40.939000,40.725000,28.910000
0.341,0.385000,0.830000,0.545000,18.725000,39.313000,39.061000,29.050000
0.353,0.384000,0.805000,0.552000,15.076000,34.580000,37.947000,29.050000
0.360,0.414000,0.793000,0.538000,16.565000,34.382000,36.603000,29.050000
0.374,0.413000,0.801000,0.540000,14.924000,30.489000,37.847000,29.000000
0.381,0.420000,0.770000,0.506000,10.656000,20.885000,41.878000,29.000000
0.393,0.422000,0.792000,0.526000,12.198000,10.588000,43.336000,28.950000
0.400,0.436000,0.768000,0.528000,18.565000,3.756000,43.504000,28.950000
0.413,0.458000,0.797000,0.535000,25.374000,-0.802000,42.115000,28.910000
0.418,0.502000,0.802000,0.561000,29.313000,-2.664000,39.511000,29.000000
0.432,0.502000,0.839000,0.585000,30.947000,-0.244000,41.855000,28.950000
0.445,0.527000,0.859000,0.617000,29.229000,4.740000,46.260000,29.050000
0.452,0.531000,0.890000,0.582000,18.824000,12.733000,51.840000,28.950000
0.464,0.498000,0.891000,0.580000,-0.863000,19.649000,56.496000,28.910000
0.474,0.460000,0.866000,0.538000,-13.366000,17.305000,56.878000,29.000000
0.484,0.469000,0.844000,0.489000,-15.550000,11.527000,53.359000,28.950000
0.492,0.462000,0.831000,0.437000,-9.321000,10.244000,47.542000,28.950000
0.504,0.469000,0.837000,0.400000,-2.115000,0.366000,44.679000,28.910000
0.511,0.457000,0.877000,0.428000,0.198000,-13.786000,45.893000,28.910000
0.523,0.449000,0.867000,0.426000,0.252000,-21.908000,41.153000,28.950000
0.532,0.506000,0.882000,0.445000,0.290000,-23.931000,35.924000,28.950000
0.543,0.544000,0.889000,0.446000,1.076000,-27.756000,34.168000,28.950000
0.551,0.585000,0.865000,0.442000,1.443000,-30.863000,33.504000,28.950000
0.563,0.608000,0.839000,0.439000,3.786000,-30.374000,34.046000,28.910000
