time_sec,ax,ay,az,gx,gy,gz,temp_c
0.020,0.188000,0.869000,0.412000,-4.191000,21.870000,21.275000,26.320000
0.027,0.229000,0.840000,0.395000,-5.275000,12.000000,14.656000,26.320000
0.040,0.243000,0.794000,0.389000,-6.542000,8.374000,10.366000,26.320000
0.047,0.249000,0.761000,0.368000,-2.588000,5.626000,8.374000,26.320000
0.060,0.221000,0.769000,0.369000,-0.832000,5.519000,2.855000,26.370000
0.067,0.208000,0.787000,0.378000,0.351000,2.000000,-1.702000,26.270000
0.082,0.220000,0.806000,0.390000,1.427000,-2.603000,-5.962000,26.370000
0.088,0.262000,0.833000,0.384000,0.908000,-9.550000,-8.740000,26.370000
0.099,0.317000,0.833000,0.393000,0.611000,-12.878000,-3.733000,26.320000
0.109,0.333000,0.823000,0.391000,2.412000,-14.328000,2.130000,26.320000
0.119,0.354000,0.834000,0.396000,4.611000,-13.573000,6.237000,26.320000
0.126,0.351000,0.829000,0.403000,6.603000,-10.542000,7.489000,26.320000
0.139,0.368000,0.854000,0.413000,7.374000,-7.809000,5.489000,26.410000
0.146,0.367000,0.883000,0.424000,4.168000,-6.802000,2.679000,26.270000
0.159,0.394000,0.884000,0.444000,-0.740000,-9.794000,2.305000,26.370000
0.166,0.433000,0.881000,0.438000,-4.748000,-14.397000,3.962000,26.270000
0.179,0.514000,0.878000,0.422000,-6.634000,-18.267000,7.473000,26.320000
0.186,0.613000,0.867000,0.411000,-5.511000,-14.489000,18.214000,26.320000
0.198,0.634000,0.838000,0.407000,-3.534000,-2.542000,24.985000,26.320000
0.211,0.648000,0.807000,0.393000,-0.267000,15.565000,30.977000,26.320000
0.218,0.622000,0.790000,0.403000,3.313000,34.092000,36.435000,26.270000
0.231,0.563000,0.802000,0.408000,4.748000,47.557000,39.611000,26.270000
0.239,0.505000,0.837000,0.429000,2.321000,52.153000,39.718000,26.180000
0.250,0.462000,0.861000,0.442000,-0.038000,48.260000,37.771000,26.270000
0.258,0.436000,0.885000,0.445000,-3.382000,39.351000,33.427000,26.320000
0.270,0.435000,0.855000,0.426000,-8.160000,28.046000,30.908000,26.220000
0.278,0.433000,0.827000,0.402000,-9.084000,16.779000,30.122000,26.320000
0.290,0.462000,0.808000,0.370000,-6.573000,7.588000,29.511000,26.220000
0.297,0.503000,0.807000,0.367000,-4.626000,2.863000,29.168000,26.370000
0.309,0.536000,0.822000,0.379000,-3.374000,1.046000,30.565000,26.370000
0.317,0.567000,0.829000,0.395000,-1.924000,2.115000,29.450000,26.270000
0.330,0.589000,0.863000,0.390000,1.023000,4.847000,33.000000,26.270000
0.337,0.589000,0.859000,0.396000,2.336000,9.824000,33.725000,26.320000
0.350,0.579000,0.829000,0.396000,4.580000,14.718000,33.641000,26.320000
0.357,0.545000,0.800000,0.394000,7.015000,17.504000,37.359000,26.320000
0.371,0.547000,0.802000,0.407000,9.992000,19.473000,39.252000,26.220000
0.377,0.544000,0.822000,0.414000,10.435000,21.313000,41.718000,26.270000
0.389,0.543000,0.826000,0.421000,9.412000,24.145000,45.664000,26.270000
0.396,0.528000,0.837000,0.421000,8.603000,26.725000,50.206000,26.370000
0.409,0.512000,0.852000,0.416000,8.641000,27.183000,53.618000,26.270000
0.416,0.487000,0.817000,0.406000,11.450000,28.977000,55.878000,26.320000
0.430,0.460000,0.812000,0.398000,15.397000,30.962000,56.244000,26.410000
