time_sec,ax,ay,az,gx,gy,gz,temp_c
0.016,0.307000,0.396000,0.889000,0.489000,-11.359000,10.053000,24.290000
0.019,0.300000,0.434000,0.881000,-3.366000,-3.832000,9.733000,24.340000
0.032,0.280000,0.387000,0.820000,-6.542000,1.061000,6.344000,24.440000
0.039,0.272000,0.344000,0.785000,-5.046000,3.565000,3.519000,24.340000
0.052,0.252000,0.333000,0.796000,-1.573000,1.687000,4.870000,24.340000
0.059,0.223000,0.341000,0.844000,1.183000,-3.008000,6.824000,24.440000
0.071,0.194000,0.380000,0.902000,-0.099000,-8.191000,7.863000,24.250000
0.079,0.222000,0.435000,0.910000,-7.237000,-9.878000,7.252000,24.290000
0.091,0.251000,0.369000,0.870000,-11.710000,-9.489000,3.214000,24.390000
0.099,0.279000,0.301000,0.811000,-8.092000,-6.656000,-0.412000,24.390000
0.111,0.290000,0.295000,0.789000,-2.672000,-5.031000,-1.176000,24.290000
0.123,0.314000,0.304000,0.821000,2.076000,-3.313000,-1.313000,24.290000
0.131,0.304000,0.338000,0.882000,4.115000,-2.748000,0.412000,24.390000
0.143,0.291000,0.384000,0.931000,1.702000,0.305000,2.313000,24.390000
0.150,0.299000,0.445000,0.914000,-7.168000,6.069000,1.618000,24.340000
0.163,0.271000,0.354000,0.821000,-10.954000,6.847000,-2.191000,24.340000
0.170,0.266000,0.312000,0.779000,-8.573000,7.855000,-9.870000,24.340000
0.182,0.290000,0.283000,0.806000,-3.924000,8.023000,-17.092000,24.340000
0.190,0.323000,0.281000,0.867000,2.458000,10.084000,-9.962000,24.440000
0.202,0.352000,0.354000,0.948000,5.809000,18.908000,-2.817000,24.440000
0.209,0.291000,0.401000,1.014000,1.969000,27.115000,-2.443000,24.340000
0.222,0.167000,0.430000,1.041000,-4.221000,25.756000,-2.786000,24.390000
0.228,0.102000,0.509000,0.970000,-16.885000,13.947000,-3.099000,24.290000
0.241,0.039000,0.398000,0.879000,-25.344000,-6.351000,-6.969000,24.290000
0.254,0.117000,0.365000,0.801000,-24.061000,-28.458000,-6.290000,24.290000
0.260,0.191000,0.337000,0.817000,-18.985000,-33.756000,-14.298000,24.290000
0.272,0.291000,0.370000,0.816000,-20.962000,-34.130000,-16.534000,24.390000
0.279,0.372000,0.373000,0.865000,-18.649000,-25.603000,-17.931000,24.340000
0.291,0.365000,0.378000,0.917000,-16.718000,-16.550000,-17.985000,24.440000
0.298,0.351000,0.359000,0.979000,-16.176000,-1.893000,-16.489000,24.340000
0.310,0.366000,0.449000,1.017000,-18.229000,13.061000,-13.183000,24.340000
0.322,0.354000,0.483000,0.988000,-27.160000,28.580000,-12.359000,24.250000
0.329,0.309000,0.407000,0.928000,-24.198000,39.336000,-14.611000,24.340000
0.342,0.284000,0.397000,0.899000,-17.985000,43.748000,-17.420000,24.340000
0.349,0.236000,0.392000,0.885000,-22.061000,38.252000,-22.489000,24.340000
0.361,0.211000,0.365000,0.915000,-23.542000,28.244000,-16.634000,24.340000
0.373,0.230000,0.386000,0.942000,-25.115000,19.328000,-13.817000,24.390000
0.380,0.271000,0.388000,0.980000,-25.527000,16.229000,-11.962000,24.290000
0.393,0.346000,0.460000,0.960000,-31.473000,26.084000,-10.954000,24.390000
0.399,0.392000,0.438000,0.863000,-36.359000,35.031000,-13.641000,24.290000
0.412,0.308000,0.313000,0.757000,-29.107000,38.550000,-16.817000,24.340000
0.418,0.258000,0.250000,0.720000,-20.069000,37.397000,-22.511000,24.340000
0.431,0.261000,0.277000,0.721000,-13.939000,28.221000,-27.466000,24.440000
0.443,0.289000,0.252000,0.771000,-10.931000,17.595000,-28.130000,24.440000
0.450,0.336000,0.261000,0.829000,-6.267000,12.344000,-23.008000,24.250000
0.462,0.327000,0.312000,0.849000,-0.267000,8.550000,-18.725000,24.340000
0.469,0.319000,0.363000,0.953000,3.901000,9.473000,-15.427000,24.390000
0.482,0.270000,0.445000,0.992000,-4.954000,12.214000,-15.153000,24.390000
0.489,0.155000,0.411000,0.989000,-13.000000,0.573000,-16.626000,24.290000
0.501,0.099000,0.395000,0.949000,-16.847000,-12.412000,-25.687000,24.390000
0.513,0.182000,0.312000,0.857000,-16.313000,-19.008000,-39.534000,24.290000
0.520,0.320000,0.236000,0.828000,-9.756000,-12.878000,-45.855000,24.290000
0.534,0.418000,0.230000,0.823000,-1.511000,2.840000,-41.687000,24.340000
0.540,0.401000,0.273000,0.870000,6.702000,17.832000,-33.565000,24.340000
0.552,0.325000,0.358000,0.911000,9.870000,27.580000,-29.000000,24.340000
0.559,0.270000,0.440000,0.927000,9.832000,30.473000,-27.145000,24.340000
0.571,0.209000,0.513000,0.978000,4.817000,30.954000,-18.000000,24.340000
0.578,0.099000,0.468000,0.908000,-8.611000,25.847000,-12.443000,24.440000
0.592,0.068000,0.328000,0.843000,-15.137000,19.786000,-11.260000,24.390000
0.603,0.050000,0.215000,0.792000,-6.366000,12.580000,-13.840000,24.290000
0.610,0.114000,0.190000,0.809000,4.824000,7.756000,-13.427000,24.480000
0.623,0.213000,0.244000,0.871000,10.687000,2.405000,-9.084000,24.390000
0.630,0.296000,0.326000,0.962000,13.076000,2.710000,-3.954000,24.390000
0.643,0.306000,0.377000,1.033000,8.397000,5.939000,3.885000,24.290000
0.651,0.286000,0.374000,1.083000,6.031000,13.565000,12.183000,24.340000
0.662,0.209000,0.312000,1.043000,0.611000,23.954000,16.870000,24.340000
0.669,0.094000,0.274000,1.017000,-2.718000,33.847000,13.786000,24.440000
0.682,0.028000,0.302000,1.017000,-1.870000,37.420000,11.840000,24.340000
0.691,-0.038000,0.412000,1.045000,-5.840000,31.511000,5.450000,24.340000
0.701,-0.070000,0.444000,1.074000,-11.656000,22.794000,-6.511000,24.340000
0.708,-0.029000,0.430000,1.090000,-19.115000,16.107000,-14.588000,24.340000
0.720,0.057000,0.386000,1.093000,-24.511000,19.947000,-22.000000,24.390000
0.732,0.111000,0.303000,1.027000,-32.397000,26.786000,-27.122000,24.390000
0.740,0.205000,0.234000,0.994000,-34.771000,34.305000,-24.939000,24.390000
0.752,0.243000,0.225000,0.972000,-32.947000,38.817000,-15.550000,24.390000
0.759,0.200000,0.261000,0.983000,-28.855000,36.000000,-7.656000,24.390000
0.771,0.160000,0.290000,1.005000,-22.198000,27.206000,0.702000,24.290000
0.778,0.161000,0.326000,1.011000,-17.634000,19.847000,5.214000,24.250000
0.791,0.200000,0.309000,1.012000,-16.855000,24.443000,7.702000,24.340000
0.803,0.148000,0.287000,0.991000,-16.710000,33.412000,9.260000,24.340000
0.810,0.098000,0.214000,0.949000,-19.137000,48.481000,1.137000,24.440000
0.822,0.043000,0.176000,0.910000,-22.740000,59.931000,-4.237000,24.340000
0.829,-0.042000,0.186000,0.918000,-25.771000,60.779000,-3.527000,24.340000
0.842,-0.095000,0.216000,0.952000,-28.840000,52.427000,-1.840000,24.340000
0.849,-0.152000,0.301000,1.020000,-35.038000,33.122000,5.573000,24.340000
0.861,-0.216000,0.360000,1.096000,-40.618000,8.771000,12.427000,24.390000
0.873,-0.202000,0.377000,1.104000,-41.550000,-9.107000,11.092000,24.390000
0.880,-0.125000,0.322000,1.084000,-41.985000,-12.985000,2.885000,24.200000
0.893,-0.025000,0.290000,1.041000,-42.405000,-6.069000,-6.893000,24.480000
0.904,0.079000,0.264000,0.980000,-47.527000,5.542000,-16.840000,24.480000
0.912,0.134000,0.175000,0.889000,-49.718000,16.641000,-21.046000,24.340000
0.918,0.079000,0.126000,0.849000,-45.809000,17.168000,-22.870000,24.340000
0.931,0.050000,0.160000,0.836000,-42.954000,7.985000,-22.939000,24.340000
0.943,0.014000,0.200000,0.865000,-40.695000,-7.595000,-17.015000,24.340000
0.950,0.032000,0.238000,0.889000,-37.115000,-23.359000,-10.947000,24.340000
0.962,0.084000,0.214000,0.892000,-34.084000,-28.534000,-9.061000,24.440000
0.969,0.117000,0.184000,0.880000,-33.588000,-26.626000,-7.298000,24.290000
0.981,0.131000,0.107000,0.872000,-34.336000,-20.687000,-6.611000,24.290000
0.989,0.143000,0.131000,0.845000,-42.168000,-9.115000,-5.023000,24.290000
1.001,0.075000,0.093000,0.833000,-50.504000,-1.634000,-1.298000,24.390000
1.013,-0.003000,0.095000,0.849000,-50.221000,-1.137000,-0.298000,24.290000
1.020,-0.053000,0.113000,0.831000,-53.924000,-4.374000,1.649000,24.390000
1.032,-0.112000,0.080000,0.879000,-52.183000,-12.183000,-0.008000,24.290000
1.040,-0.108000,0.064000,0.860000,-44.931000,-18.542000,-7.092000,24.340000
1.051,-0.067000,0.062000,0.862000,-38.672000,-22.153000,-22.916000,24.440000
1.063,0.050000,0.086000,0.849000,-36.282000,-15.282000,-36.786000,24.440000
1.070,0.203000,0.041000,0.792000,-36.649000,-3.924000,-40.588000,24.340000
1.082,0.301000,-0.044000,0.722000,-31.137000,6.076000,-32.473000,24.340000
1.089,0.281000,-0.045000,0.747000,-20.557000,8.794000,-13.359000,24.340000
1.102,0.166000,0.046000,0.840000,-14.282000,-1.298000,4.275000,24.340000
1.109,0.067000,0.162000,0.957000,-15.252000,-13.679000,15.282000,24.390000
1.121,0.045000,0.149000,0.979000,-20.130000,-19.458000,15.458000,24.390000
1.135,0.097000,0.028000,0.927000,-19.137000,-14.420000,9.153000,24.390000
1.141,0.175000,0.021000,0.889000,-12.573000,5.267000,2.145000,24.390000
1.153,0.108000,0.034000,0.880000,-9.214000,22.664000,-3.656000,24.390000
1.159,-0.022000,0.115000,0.938000,-7.817000,24.794000,-4.473000,24.290000
1.172,-0.083000,0.146000,0.962000,-12.786000,14.855000,-2.740000,24.340000
1.179,-0.126000,0.093000,0.976000,-16.573000,-4.023000,-0.122000,24.440000
1.192,-0.062000,0.074000,0.945000,-16.595000,-21.290000,1.008000,24.440000
1.198,0.108000,-0.004000,0.848000,-17.634000,-25.672000,-0.069000,24.340000
1.210,0.252000,-0.098000,0.790000,-13.458000,-17.626000,1.191000,24.340000
1.222,0.306000,-0.114000,0.764000,-6.466000,0.718000,2.702000,24.340000
1.230,0.222000,-0.050000,0.844000,0.046000,12.695000,7.092000,24.340000
1.243,0.082000,0.109000,1.010000,1.313000,13.786000,14.382000,24.390000
1.250,-0.033000,0.192000,1.099000,-4.344000,6.702000,17.969000,24.390000
1.262,-0.131000,0.174000,1.189000,-9.718000,-7.740000,21.206000,24.390000
1.268,-0.087000,0.136000,1.150000,-18.000000,-20.534000,22.023000,24.290000
1.281,0.075000,0.058000,1.017000,-26.954000,-18.221000,21.496000,24.390000
1.293,0.231000,-0.055000,0.852000,-28.542000,2.733000,19.237000,24.290000
1.300,0.266000,-0.152000,0.762000,-23.916000,29.992000,16.473000,24.440000
1.312,0.153000,-0.148000,0.789000,-9.725000,50.374000,19.298000,24.250000
1.319,-0.047000,0.013000,0.912000,-4.092000,54.573000,22.153000,24.340000
1.332,-0.209000,0.049000,1.019000,-5.840000,43.214000,24.000000,24.340000
1.339,-0.375000,0.098000,1.078000,-11.870000,14.489000,30.473000,24.340000
1.351,-0.395000,0.064000,1.040000,-17.550000,-17.435000,30.336000,24.250000
1.363,-0.278000,-0.053000,0.927000,-20.893000,-37.038000,23.092000,24.440000
1.369,-0.104000,-0.132000,0.866000,-21.573000,-43.718000,16.382000,24.340000
