time_sec,ax,ay,az,gx,gy,gz,temp_c
0.014,-0.345000,-0.561000,0.705000,-65.267000,40.756000,90.137000,30.880000
0.018,-0.403000,-0.547000,0.706000,-66.412000,39.267000,86.779000,30.980000
0.030,-0.455000,-0.531000,0.753000,-66.031000,36.450000,79.634000,30.930000
0.037,-0.458000,-0.523000,0.747000,-66.511000,34.565000,72.008000,30.880000
0.049,-0.486000,-0.507000,0.743000,-69.153000,27.053000,63.206000,30.880000
0.056,-0.475000,-0.478000,0.714000,-77.023000,21.351000,55.695000,30.840000
0.068,-0.466000,-0.487000,0.673000,-84.885000,18.237000,50.015000,30.880000
0.083,-0.452000,-0.505000,0.634000,-93.298000,14.962000,46.695000,30.880000
0.090,-0.466000,-0.531000,0.592000,-97.252000,9.802000,45.046000,30.930000
0.100,-0.480000,-0.576000,0.569000,-100.496000,-0.885000,48.863000,30.930000
0.105,-0.453000,-0.594000,0.508000,-100.206000,-1.779000,46.282000,30.880000
0.118,-0.377000,-0.707000,0.536000,-98.817000,0.519000,41.687000,30.930000
0.129,-0.422000,-0.634000,0.462000,-105.336000,1.840000,41.420000,30.930000
0.136,-0.396000,-0.641000,0.430000,-101.198000,10.214000,36.023000,30.880000
0.148,-0.385000,-0.654000,0.380000,-103.229000,14.107000,34.046000,30.880000
0.155,-0.394000,-0.685000,0.338000,-96.076000,13.634000,33.885000,30.930000
0.167,-0.411000,-0.717000,0.290000,-92.992000,12.344000,33.840000,30.790000
0.180,-0.442000,-0.708000,0.269000,-91.580000,12.443000,30.504000,30.980000
0.187,-0.462000,-0.734000,0.227000,-88.962000,9.252000,29.809000,30.840000
0.198,-0.460000,-0.719000,0.205000,-83.702000,3.015000,24.908000,30.930000
0.205,-0.420000,-0.789000,0.171000,-72.466000,5.672000,19.084000,30.880000
0.217,-0.388000,-0.795000,0.135000,-62.878000,9.252000,17.214000,30.840000
0.230,-0.369000,-0.792000,0.129000,-52.527000,16.321000,16.756000,30.930000
0.237,-0.413000,-0.802000,0.096000,-43.908000,15.794000,18.695000,30.880000
0.248,-0.465000,-0.759000,0.067000,-35.313000,7.061000,23.168000,30.880000
0.255,-0.506000,-0.765000,0.077000,-36.336000,7.206000,23.168000,30.930000
0.267,-0.548000,-0.753000,0.093000,-32.977000,2.366000,19.893000,30.880000
0.280,-0.523000,-0.731000,0.142000,-31.847000,4.847000,11.168000,30.880000
0.288,-0.523000,-0.737000,0.141000,-27.611000,4.290000,4.534000,30.840000
0.299,-0.500000,-0.756000,0.172000,-21.718000,3.267000,-0.718000,30.840000
0.305,-0.477000,-0.765000,0.169000,-16.000000,3.611000,-3.191000,30.880000
0.317,-0.482000,-0.771000,0.164000,-9.786000,1.702000,-2.573000,30.840000
0.330,-0.484000,-0.767000,0.179000,-4.702000,-0.458000,-2.336000,30.930000
0.337,-0.495000,-0.774000,0.176000,-2.977000,-0.450000,-3.221000,30.790000
0.349,-0.531000,-0.779000,0.199000,-1.534000,-5.672000,-4.427000,30.880000
0.355,-0.518000,-0.767000,0.203000,-1.595000,-10.038000,-6.840000,30.930000
0.367,-0.492000,-0.761000,0.238000,-1.893000,-9.183000,-9.198000,30.930000
0.380,-0.456000,-0.798000,0.271000,2.466000,-7.969000,-9.756000,30.880000
0.387,-0.402000,-0.804000,0.288000,8.954000,-1.313000,-10.855000,30.930000
0.399,-0.373000,-0.847000,0.285000,16.397000,5.611000,-9.802000,30.840000
0.406,-0.364000,-0.822000,0.305000,21.870000,15.458000,-12.771000,30.790000
0.418,-0.415000,-0.809000,0.320000,24.985000,18.183000,-13.305000,30.930000
0.430,-0.458000,-0.740000,0.321000,20.855000,18.382000,-14.725000,30.930000
0.438,-0.556000,-0.685000,0.331000,9.267000,4.824000,-11.611000,30.880000
0.449,-0.581000,-0.703000,0.323000,0.763000,-11.351000,-9.557000,30.790000
0.456,-0.490000,-0.718000,0.357000,-4.298000,-17.565000,-10.809000,30.930000
0.468,-0.424000,-0.756000,0.357000,-7.382000,-21.221000,-10.458000,30.790000
0.480,-0.349000,-0.806000,0.345000,-9.679000,-20.061000,-8.473000,30.880000
0.487,-0.312000,-0.858000,0.346000,-6.328000,-12.313000,-5.473000,30.930000
0.499,-0.282000,-0.874000,0.345000,-0.611000,-3.626000,-2.191000,30.840000
0.505,-0.260000,-0.880000,0.355000,5.672000,14.267000,-3.359000,30.880000
0.518,-0.305000,-0.859000,0.347000,9.962000,25.137000,-4.351000,30.930000
0.530,-0.395000,-0.786000,0.326000,7.107000,18.901000,-2.847000,30.840000
0.537,-0.479000,-0.748000,0.306000,-1.290000,1.817000,1.282000,30.980000
0.549,-0.526000,-0.760000,0.292000,-8.618000,-18.863000,3.527000,30.840000
0.556,-0.499000,-0.794000,0.272000,-16.840000,-37.160000,6.252000,30.840000
0.568,-0.496000,-0.818000,0.245000,-8.153000,-47.191000,7.168000,30.880000
0.575,-0.388000,-0.928000,0.279000,-4.130000,-54.336000,2.229000,30.840000
0.587,-0.249000,-0.948000,0.296000,3.672000,-40.847000,-7.069000,30.840000
0.600,-0.168000,-0.969000,0.344000,14.382000,-8.244000,-18.519000,30.880000
0.606,-0.244000,-0.974000,0.354000,18.687000,10.458000,-22.298000,30.880000
0.618,-0.275000,-0.938000,0.376000,28.962000,22.679000,-24.618000,30.840000
