time_sec,ax,ay,az,gx,gy,gz,temp_c
0.020,-0.136000,-0.713000,0.592000,-78.252000,10.328000,11.382000,30.270000
0.020,-0.169000,-0.698000,0.526000,-79.641000,12.214000,10.046000,30.320000
0.030,-0.158000,-0.668000,0.483000,-78.969000,11.382000,8.183000,30.320000
0.037,-0.152000,-0.686000,0.423000,-79.427000,15.954000,6.359000,30.370000
0.050,-0.179000,-0.712000,0.411000,-65.695000,13.947000,2.939000,30.320000
0.056,-0.163000,-0.694000,0.355000,-59.237000,18.649000,0.496000,30.220000
0.069,-0.155000,-0.690000,0.336000,-53.893000,23.244000,0.046000,30.270000
0.076,-0.167000,-0.650000,0.298000,-52.481000,22.885000,1.031000,30.270000
0.088,-0.170000,-0.644000,0.259000,-53.832000,19.901000,1.504000,30.220000
0.103,-0.168000,-0.654000,0.203000,-53.412000,17.527000,3.962000,30.220000
0.107,-0.205000,-0.644000,0.208000,-51.710000,6.153000,5.771000,30.270000
0.120,-0.178000,-0.661000,0.171000,-52.901000,-3.603000,7.939000,30.270000
0.126,-0.149000,-0.711000,0.151000,-51.382000,-11.550000,11.458000,30.320000
0.138,-0.120000,-0.729000,0.138000,-49.244000,-19.779000,14.496000,30.270000
0.150,-0.082000,-0.732000,0.150000,-45.901000,-17.244000,15.305000,30.370000
0.157,-0.100000,-0.754000,0.167000,-35.191000,-14.336000,15.855000,30.370000
0.169,-0.087000,-0.760000,0.191000,-25.160000,-7.710000,17.420000,30.320000
0.176,-0.096000,-0.762000,0.225000,-18.863000,0.985000,16.718000,30.270000
0.188,-0.126000,-0.772000,0.254000,-8.763000,6.725000,13.198000,30.180000
0.196,-0.129000,-0.756000,0.306000,-0.023000,9.870000,10.947000,30.320000
0.209,-0.150000,-0.745000,0.332000,4.527000,10.107000,9.153000,30.320000
0.220,-0.166000,-0.765000,0.354000,7.153000,7.740000,9.191000,30.270000
0.228,-0.161000,-0.754000,0.359000,9.931000,4.046000,9.733000,30.370000
