time_sec,ax,ay,az,gx,gy,gz,temp_c
0.012,-0.337000,-0.179000,1.228000,9.427000,51.389000,-10.847000,29.890000
0.017,-0.344000,-0.134000,1.247000,-0.725000,45.863000,-10.534000,29.890000
0.029,-0.343000,-0.108000,1.249000,-14.244000,41.321000,-10.702000,29.850000
0.036,-0.350000,-0.112000,1.217000,-26.939000,33.168000,-10.870000,29.850000
0.048,-0.347000,-0.118000,1.153000,-32.687000,22.031000,-11.458000,29.800000
0.060,-0.346000,-0.110000,1.081000,-38.916000,9.649000,-11.511000,29.890000
0.067,-0.314000,-0.099000,1.006000,-46.374000,-1.679000,-11.267000,29.800000
0.079,-0.239000,-0.077000,0.974000,-54.145000,-7.748000,-12.397000,29.850000
0.090,-0.206000,-0.073000,0.930000,-67.489000,-7.412000,-12.458000,29.890000
0.098,-0.204000,-0.101000,0.884000,-78.962000,-10.481000,-10.794000,29.890000
0.112,-0.198000,-0.156000,0.829000,-84.145000,-15.481000,-9.481000,29.750000
0.116,-0.177000,-0.197000,0.783000,-85.924000,-17.359000,-8.557000,29.850000
0.128,-0.170000,-0.232000,0.759000,-83.702000,-21.153000,-7.137000,29.890000
0.140,-0.168000,-0.297000,0.720000,-80.573000,-26.244000,-5.634000,29.890000
0.147,-0.179000,-0.348000,0.680000,-72.527000,-32.656000,-4.176000,29.850000
0.159,-0.141000,-0.410000,0.662000,-65.725000,-37.130000,-2.511000,29.850000
0.165,-0.164000,-0.460000,0.626000,-56.740000,-37.618000,-1.252000,29.800000
0.177,-0.139000,-0.464000,0.637000,-47.527000,-37.115000,1.855000,29.990000
0.190,-0.091000,-0.439000,0.685000,-39.145000,-31.519000,5.252000,29.940000
0.196,-0.044000,-0.414000,0.734000,-31.160000,-19.710000,8.260000,29.850000
0.209,-0.030000,-0.383000,0.774000,-23.679000,-6.878000,13.763000,29.890000
0.220,-0.027000,-0.346000,0.816000,-17.015000,4.817000,17.496000,29.800000
0.227,-0.031000,-0.315000,0.833000,-11.718000,19.733000,18.977000,29.890000
0.240,-0.062000,-0.302000,0.822000,-8.176000,33.176000,19.290000,29.850000
0.247,-0.072000,-0.292000,0.787000,-5.916000,46.130000,17.282000,29.890000
0.259,-0.110000,-0.304000,0.766000,-2.924000,56.580000,12.954000,29.890000
0.265,-0.173000,-0.325000,0.729000,0.695000,63.275000,5.878000,29.940000
0.278,-0.212000,-0.322000,0.721000,3.817000,70.046000,-6.282000,29.850000
0.290,-0.244000,-0.334000,0.718000,4.718000,64.405000,-15.084000,29.800000
0.298,-0.266000,-0.337000,0.693000,4.794000,57.496000,-23.466000,29.890000
0.309,-0.275000,-0.349000,0.677000,2.031000,46.771000,-31.489000,29.940000
0.320,-0.265000,-0.406000,0.679000,0.160000,34.748000,-37.107000,29.940000
0.328,-0.253000,-0.427000,0.689000,0.771000,20.206000,-38.779000,29.890000
0.341,-0.239000,-0.444000,0.722000,-0.824000,5.450000,-36.687000,29.890000
0.347,-0.209000,-0.446000,0.750000,-0.435000,-5.847000,-31.489000,29.850000
0.359,-0.174000,-0.444000,0.779000,-0.931000,-13.435000,-26.115000,29.850000
0.365,-0.141000,-0.438000,0.797000,-1.412000,-14.672000,-21.443000,29.890000
0.378,-0.121000,-0.438000,0.807000,-1.718000,-10.473000,-18.107000,29.800000
0.390,-0.148000,-0.443000,0.813000,0.389000,-7.366000,-15.939000,29.800000
