time_sec,ax,ay,az,gx,gy,gz,temp_c
0.013,0.079000,-0.412000,0.742000,23.107000,-103.405000,52.328000,30.650000
0.023,0.263000,-0.483000,0.756000,34.656000,-101.260000,57.366000,30.600000
0.030,0.350000,-0.446000,0.821000,44.374000,-80.718000,58.290000,30.600000
0.042,0.295000,-0.333000,0.911000,53.939000,-58.802000,58.916000,30.650000
0.055,0.160000,-0.253000,0.976000,55.168000,-45.000000,60.160000,30.550000
0.061,0.031000,-0.228000,0.969000,51.679000,-40.275000,58.740000,30.690000
0.074,0.033000,-0.248000,0.946000,50.061000,-36.992000,54.244000,30.650000
0.080,0.084000,-0.301000,0.892000,50.023000,-25.145000,42.901000,30.550000
0.093,0.139000,-0.348000,0.827000,54.924000,-6.023000,31.053000,30.600000
0.105,0.141000,-0.364000,0.778000,62.779000,12.458000,22.252000,30.600000
0.113,0.036000,-0.328000,0.734000,68.565000,20.664000,19.901000,30.650000
0.125,-0.083000,-0.344000,0.668000,72.939000,15.794000,25.565000,30.550000
0.131,-0.122000,-0.307000,0.667000,75.290000,1.863000,30.290000,30.600000
0.144,-0.098000,-0.262000,0.674000,76.786000,-5.824000,27.725000,30.600000
0.155,-0.078000,-0.218000,0.689000,77.473000,-14.458000,21.649000,30.650000
0.162,-0.061000,-0.183000,0.707000,77.229000,-23.153000,18.542000,30.650000
0.174,-0.025000,-0.142000,0.694000,74.061000,-32.183000,16.038000,30.600000
0.181,0.041000,-0.221000,0.687000,76.542000,-37.061000,12.977000,30.550000
0.194,0.117000,-0.230000,0.681000,85.733000,-36.420000,9.641000,30.550000
0.201,0.172000,-0.208000,0.670000,93.420000,-31.137000,7.191000,30.550000
0.213,0.232000,-0.201000,0.694000,101.794000,-25.023000,5.473000,30.510000
0.225,0.236000,-0.130000,0.715000,108.595000,-18.168000,5.221000,30.650000
0.231,0.191000,-0.053000,0.721000,107.496000,-14.634000,8.939000,30.550000
0.244,0.175000,-0.036000,0.747000,102.198000,-16.893000,12.687000,30.600000
0.251,0.178000,-0.012000,0.738000,97.076000,-15.847000,15.588000,30.690000
0.262,0.172000,0.009000,0.724000,90.076000,-18.863000,21.863000,30.650000
0.275,0.161000,-0.024000,0.732000,87.679000,-21.924000,28.931000,30.650000
0.281,0.146000,-0.017000,0.695000,88.908000,-25.145000,32.718000,30.600000
0.294,0.141000,-0.083000,0.720000,97.870000,-31.244000,35.947000,30.650000
