time_sec,ax,ay,az,gx,gy,gz,temp_c
0.022,0.104000,0.421000,1.015000,-183.985000,56.321000,-107.977000,31.350000
0.029,0.018000,0.338000,0.911000,-193.076000,55.130000,-102.313000,31.400000
0.036,-0.112000,0.357000,0.840000,-211.496000,33.298000,-89.275000,31.400000
0.048,-0.150000,0.321000,0.673000,-236.901000,4.107000,-78.809000,31.260000
0.053,-0.048000,0.317000,0.439000,-250.137000,-22.031000,-72.931000,31.400000
0.066,0.149000,0.194000,0.070000,-250.137000,-29.275000,-71.321000,31.400000
0.078,0.579000,-0.093000,-0.540000,-250.137000,2.267000,-76.038000,31.350000
0.085,0.974000,-0.480000,-1.127000,-242.947000,58.130000,-70.107000,31.310000
0.100,1.047000,-0.857000,-1.523000,-177.038000,120.115000,-52.397000,31.400000
0.109,0.787000,-1.004000,-1.510000,-102.695000,150.267000,-30.389000,31.260000
0.117,0.074000,-0.824000,-1.074000,-50.450000,114.458000,-2.695000,31.310000
0.128,-0.699000,-0.642000,-0.489000,-22.336000,12.580000,11.252000,31.310000
0.140,-0.848000,-0.471000,0.046000,-9.496000,-95.977000,-2.443000,31.350000
0.146,-0.465000,-0.407000,0.443000,-6.977000,-150.366000,-26.809000,31.310000
0.158,0.093000,-0.411000,0.773000,0.481000,-131.611000,-45.656000,31.400000
0.165,0.469000,-0.355000,1.033000,-2.061000,-68.229000,-50.427000,31.350000
0.177,0.574000,-0.323000,1.135000,-13.740000,6.160000,-39.840000,31.310000
0.189,0.392000,-0.374000,1.056000,-27.695000,59.710000,-19.725000,31.310000
0.196,0.005000,-0.343000,0.850000,-41.710000,65.481000,3.550000,31.350000
0.208,-0.398000,-0.574000,0.538000,-46.176000,37.893000,16.260000,31.400000
0.216,-0.452000,-0.779000,0.335000,-29.183000,2.878000,9.237000,31.400000
0.227,-0.307000,-0.764000,0.329000,-5.878000,-12.015000,-5.908000,31.450000
0.239,-0.217000,-0.707000,0.472000,12.053000,-15.557000,-19.366000,31.260000
0.246,-0.167000,-0.566000,0.646000,21.038000,-14.786000,-25.824000,31.310000
0.258,-0.101000,-0.525000,0.724000,19.336000,-12.954000,-25.115000,31.350000
0.264,-0.060000,-0.519000,0.705000,16.939000,-10.267000,-21.160000,31.350000
0.277,-0.074000,-0.571000,0.638000,19.038000,-9.382000,-17.443000,31.400000
0.289,-0.137000,-0.570000,0.533000,22.153000,-18.275000,-13.565000,31.350000
0.295,-0.189000,-0.610000,0.466000,28.298000,-35.992000,-11.626000,31.350000
0.308,-0.149000,-0.588000,0.397000,37.435000,-49.763000,-14.679000,31.400000
0.319,-0.068000,-0.604000,0.331000,48.679000,-57.374000,-19.519000,31.400000
0.326,0.060000,-0.606000,0.319000,63.710000,-59.710000,-22.664000,31.350000
0.338,0.154000,-0.570000,0.324000,76.855000,-52.099000,-22.702000,31.400000
0.345,0.206000,-0.604000,0.388000,89.557000,-40.023000,-21.618000,31.350000
0.357,0.200000,-0.533000,0.505000,100.702000,-29.061000,-18.031000,31.350000
0.369,0.164000,-0.448000,0.561000,103.214000,-21.580000,-12.901000,31.310000
0.376,0.132000,-0.422000,0.547000,99.634000,-20.420000,-7.802000,31.450000
0.388,0.058000,-0.425000,0.449000,97.580000,-28.527000,-1.244000,31.350000
0.395,-0.042000,-0.418000,0.405000,95.924000,-58.290000,7.038000,31.310000
0.408,-0.066000,-0.429000,0.438000,100.389000,-87.107000,11.397000,31.350000
0.419,0.060000,-0.455000,0.481000,109.160000,-100.908000,9.237000,31.350000
0.426,0.173000,-0.471000,0.624000,123.710000,-99.573000,5.687000,31.400000
0.438,0.233000,-0.356000,0.809000,131.092000,-85.252000,6.924000,31.310000
0.445,0.213000,-0.181000,0.898000,123.115000,-69.473000,6.115000,31.350000
0.457,0.188000,-0.183000,0.931000,111.290000,-58.107000,9.458000,31.400000
0.469,0.202000,-0.207000,0.821000,102.389000,-45.160000,16.275000,31.450000
0.476,0.146000,-0.298000,0.658000,99.031000,-39.916000,24.519000,31.350000
0.488,0.058000,-0.350000,0.577000,104.092000,-44.260000,30.420000,31.310000
0.493,0.035000,-0.337000,0.526000,113.519000,-48.931000,30.557000,31.350000
0.507,-0.018000,-0.363000,0.655000,127.908000,-64.527000,27.504000,31.350000
0.519,0.007000,-0.191000,0.902000,136.458000,-71.695000,19.863000,31.400000
0.526,0.074000,-0.050000,1.087000,134.359000,-68.412000,5.939000,31.350000
0.538,0.169000,-0.008000,1.198000,127.076000,-62.412000,-5.305000,31.350000
0.550,0.299000,0.020000,1.185000,116.344000,-41.901000,-10.763000,31.310000
0.557,0.335000,0.002000,1.054000,105.267000,-27.382000,-8.534000,31.400000
0.570,0.313000,-0.020000,0.978000,86.031000,-23.382000,6.382000,31.260000
0.576,0.244000,-0.065000,0.847000,69.084000,-23.023000,21.626000,31.310000
0.588,0.188000,-0.213000,0.721000,67.244000,-30.092000,32.260000,31.350000
0.593,0.159000,-0.279000,0.628000,79.069000,-36.893000,35.710000,31.350000
0.607,0.149000,-0.269000,0.555000,97.985000,-41.176000,32.969000,31.400000
0.619,0.069000,-0.210000,0.621000,117.496000,-51.313000,24.000000,31.310000
0.626,0.045000,-0.106000,0.703000,139.000000,-56.557000,12.023000,31.350000
0.638,0.009000,0.145000,0.851000,141.748000,-79.550000,1.321000,31.400000
0.645,0.176000,0.388000,1.115000,110.076000,-90.969000,-0.366000,31.310000
0.657,0.354000,0.374000,1.167000,81.183000,-79.817000,-5.053000,31.350000
0.669,0.526000,0.219000,1.051000,69.053000,-48.702000,-6.244000,31.350000
0.676,0.491000,0.005000,0.974000,74.031000,-32.443000,5.893000,31.400000
0.688,0.475000,-0.036000,0.941000,90.786000,-13.221000,15.679000,31.400000
0.695,0.407000,-0.005000,0.870000,106.244000,4.015000,15.557000,31.450000
0.708,0.260000,0.069000,0.840000,116.611000,7.557000,15.145000,31.400000
0.720,0.126000,0.107000,0.760000,118.046000,-2.748000,18.206000,31.350000
0.727,0.024000,0.243000,0.814000,108.740000,-36.771000,23.870000,31.350000
0.739,0.062000,0.295000,1.032000,92.359000,-70.748000,29.130000,31.310000
0.746,0.228000,0.345000,1.228000,86.771000,-77.794000,21.092000,31.310000
0.759,0.388000,0.432000,1.363000,81.305000,-74.954000,4.992000,31.350000
0.765,0.528000,0.439000,1.397000,68.939000,-52.664000,-4.733000,31.310000
0.777,0.600000,0.323000,1.231000,59.702000,-23.382000,-5.023000,31.400000
0.790,0.614000,0.167000,0.999000,60.466000,7.298000,5.695000,31.260000
0.797,0.485000,0.078000,0.788000,68.824000,22.817000,21.641000,31.400000
0.809,0.242000,0.057000,0.626000,78.611000,21.649000,34.534000,31.400000
0.816,0.039000,0.042000,0.519000,88.427000,2.466000,41.153000,31.400000
0.829,-0.034000,0.104000,0.617000,99.649000,-33.137000,42.084000,31.260000
0.835,0.114000,0.259000,0.895000,108.634000,-50.550000,27.924000,31.310000
0.847,0.314000,0.306000,1.067000,119.252000,-41.840000,2.000000,31.350000
0.860,0.465000,0.324000,1.131000,139.008000,-23.824000,-15.809000,31.450000
0.867,0.465000,0.383000,1.119000,146.008000,-11.779000,-15.298000,31.310000
0.879,0.458000,0.412000,1.021000,136.939000,-3.779000,1.305000,31.310000
0.885,0.430000,0.476000,0.952000,112.183000,-7.969000,22.618000,31.350000
0.898,0.527000,0.490000,0.938000,83.962000,6.053000,41.198000,31.400000
0.906,0.459000,0.463000,0.893000,70.649000,10.817000,56.885000,31.310000
0.918,0.343000,0.489000,0.934000,60.191000,4.160000,67.771000,31.350000
0.930,0.271000,0.545000,0.929000,47.153000,-4.206000,67.557000,31.400000
0.937,0.262000,0.454000,0.878000,44.634000,-11.031000,56.290000,31.400000
0.950,0.289000,0.339000,0.810000,55.031000,-11.008000,38.855000,31.400000
0.956,0.287000,0.352000,0.760000,69.779000,-10.573000,21.962000,31.350000
0.971,0.248000,0.372000,0.731000,81.443000,-13.595000,7.458000,31.310000
0.975,0.197000,0.410000,0.688000,86.038000,-22.122000,-3.427000,31.450000
0.987,0.318000,0.557000,0.770000,73.771000,-35.695000,-6.580000,31.350000
1.000,0.507000,0.618000,0.824000,51.053000,-28.931000,-1.779000,31.400000
1.007,0.506000,0.565000,0.785000,38.252000,-25.542000,6.679000,31.260000
1.019,0.435000,0.460000,0.768000,36.763000,-33.008000,15.374000,31.350000
1.026,0.438000,0.476000,0.766000,38.366000,-41.145000,19.145000,31.310000
1.038,0.507000,0.463000,0.781000,42.015000,-42.336000,19.389000,31.400000
1.045,0.591000,0.449000,0.784000,48.832000,-32.130000,18.336000,31.350000
1.057,0.597000,0.433000,0.718000,57.519000,-14.489000,17.603000,31.400000
1.070,0.485000,0.409000,0.631000,72.443000,-2.626000,14.229000,31.310000
1.077,0.333000,0.417000,0.559000,84.321000,-2.237000,7.824000,31.400000
1.089,0.131000,0.548000,0.585000,84.198000,-31.046000,3.206000,31.350000
1.096,0.242000,0.725000,0.781000,64.718000,-62.313000,-0.290000,31.400000
1.108,0.488000,0.783000,0.939000,35.046000,-64.832000,-3.687000,31.350000
1.115,0.656000,0.700000,0.969000,19.191000,-49.687000,-6.260000,31.350000
1.127,0.756000,0.603000,0.933000,19.870000,-26.618000,-3.740000,31.310000
1.140,0.776000,0.552000,0.855000,24.115000,-2.588000,7.573000,31.400000
1.147,0.683000,0.558000,0.795000,25.198000,7.832000,22.626000,31.350000
1.159,0.574000,0.565000,0.748000,23.550000,7.008000,36.008000,31.310000
1.167,0.430000,0.571000,0.692000,20.084000,-7.885000,46.008000,31.310000
1.178,0.339000,0.521000,0.664000,18.786000,-28.542000,47.656000,31.350000
1.185,0.354000,0.467000,0.644000,23.649000,-42.779000,40.969000,31.450000
1.197,0.378000,0.429000,0.624000,36.023000,-48.000000,30.878000,31.310000
1.210,0.389000,0.391000,0.584000,51.794000,-47.053000,18.206000,31.400000
1.217,0.411000,0.450000,0.556000,62.305000,-39.046000,4.725000,31.350000
1.229,0.400000,0.455000,0.533000,76.000000,-31.145000,-8.000000,31.310000
